Year,Rate,
"December 31, 1999",1.066116
"December 31, 2000",0.923498
"December 31, 2001",0.895969
"December 31, 2002",0.942468
"December 31, 2003",1.134134
"December 31, 2004",1.244143
"December 31, 2005",1.246376
"December 31, 2006",1.256316
"December 31, 2007",1.370412
"December 31, 2008",1.471366
"December 31, 2009",1.39448
"December 31, 2010",1.327386
"December 31, 2011",1.392705
"December 31, 2012",1.285697
"December 31, 2013",1.328464
"December 31, 2014",1.329165
"December 31, 2015",1.109729
"December 31, 2016",1.10656,
"December 31, 2017",1.130051
"December 31, 2018",1.181011
"December 31, 2019",1.120129
"December 31, 2020",1.142203
"December 31, 2021",1.18318
"January 23, 2022",1.136099
